oblast,week_start,week_end,building_type,damaged_buildings
Dnipropetrovska,2026-07-27,2026-08-02,Agricultural facilities,1
Dnipropetrovska,2026-07-27,2026-08-02,"Education facility (school, etc.)",1
Dnipropetrovska,2026-07-27,2026-08-02,Government facilities,3
Dnipropetrovska,2026-07-27,2026-08-02,"Health facility (hospital, health clinic)",1
Dnipropetrovska,2026-07-27,2026-08-02,Industrial/Business/Enterprise facilities,7
Dnipropetrovska,2026-07-27,2026-08-02,Total,13
Dnipropetrovska,2026-07-20,2026-07-26,"Education facility (school, etc.)",1
Dnipropetrovska,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,3
Dnipropetrovska,2026-07-20,2026-07-26,Total,4
Kharkivska,2026-07-20,2026-07-26,Agricultural facilities,1
Kharkivska,2026-07-20,2026-07-26,"Cultural facilities (museum, theater etc.)",2
Kharkivska,2026-07-20,2026-07-26,"Education facility (school, etc.)",1
Kharkivska,2026-07-20,2026-07-26,Electricity supply system,4
Kharkivska,2026-07-20,2026-07-26,Fuel depot,5
Kharkivska,2026-07-20,2026-07-26,Government facilities,4
Kharkivska,2026-07-20,2026-07-26,"Health facility (hospital, health clinic)",1
Kharkivska,2026-07-20,2026-07-26,Industrial/Business/Enterprise facilities,5
Kharkivska,2026-07-20,2026-07-26,Other,1
Kharkivska,2026-07-20,2026-07-26,Railway,2
Kharkivska,2026-07-20,2026-07-26,Total,30
Kharkivska,2026-07-20,2026-07-26,Warehouse,4
Cherkaska,2026-07-13,2026-07-19,Agricultural facilities,1
Cherkaska,2026-07-13,2026-07-19,Total,1
Chernihivska,2026-07-13,2026-07-19,Energy Infrastructure (unknown type),1
Chernihivska,2026-07-13,2026-07-19,Fuel depot,1
Chernihivska,2026-07-13,2026-07-19,Government facilities,1
Chernihivska,2026-07-13,2026-07-19,Total,3
Dnipropetrovska,2026-07-13,2026-07-19,Agricultural facilities,4
Dnipropetrovska,2026-07-13,2026-07-19,"Education facility (school, etc.)",3
Dnipropetrovska,2026-07-13,2026-07-19,Electricity supply system,1
Dnipropetrovska,2026-07-13,2026-07-19,Fuel depot,1
Dnipropetrovska,2026-07-13,2026-07-19,Government facilities,1
Dnipropetrovska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,9
Dnipropetrovska,2026-07-13,2026-07-19,Other,1
Dnipropetrovska,2026-07-13,2026-07-19,Total,22
Dnipropetrovska,2026-07-13,2026-07-19,Warehouse,2
Donetska,2026-07-13,2026-07-19,Gas supply system,1
Donetska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,5
Donetska,2026-07-13,2026-07-19,Total,6
Kharkivska,2026-07-13,2026-07-19,Agricultural facilities,2
Kharkivska,2026-07-13,2026-07-19,"Cultural facilities (museum, theater etc.)",3
Kharkivska,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Kharkivska,2026-07-13,2026-07-19,Electricity supply system,6
Kharkivska,2026-07-13,2026-07-19,Fuel depot,2
Kharkivska,2026-07-13,2026-07-19,Gas supply system,1
Kharkivska,2026-07-13,2026-07-19,Government facilities,7
Kharkivska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,6
Kharkivska,2026-07-13,2026-07-19,Other,2
Kharkivska,2026-07-13,2026-07-19,Road / Highway,1
Kharkivska,2026-07-13,2026-07-19,Total,38
Kharkivska,2026-07-13,2026-07-19,Warehouse,5
Kharkivska,2026-07-13,2026-07-19,Water supply system,2
Khersonska,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Khersonska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,2
Khersonska,2026-07-13,2026-07-19,Telecommunications,1
Khersonska,2026-07-13,2026-07-19,Total,5
Khersonska,2026-07-13,2026-07-19,Warehouse,1
Kyiv,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Kyiv,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Kyiv,2026-07-13,2026-07-19,Total,3
Kyiv,2026-07-13,2026-07-19,Warehouse,1
Mykolaivska,2026-07-13,2026-07-19,Gas supply system,1
Mykolaivska,2026-07-13,2026-07-19,"Health facility (hospital, health clinic)",1
Mykolaivska,2026-07-13,2026-07-19,Total,3
Mykolaivska,2026-07-13,2026-07-19,Warehouse,1
Odeska,2026-07-13,2026-07-19,"Education facility (school, etc.)",2
Odeska,2026-07-13,2026-07-19,Fuel depot,1
Odeska,2026-07-13,2026-07-19,Religious facilities,1
Odeska,2026-07-13,2026-07-19,Total,5
Odeska,2026-07-13,2026-07-19,Warehouse,1
Poltavska,2026-07-13,2026-07-19,Industrial/Business/Enterprise facilities,1
Poltavska,2026-07-13,2026-07-19,Total,1
Sevastopol,2026-07-13,2026-07-19,Power plant,1
Sevastopol,2026-07-13,2026-07-19,Total,1
Sumska,2026-07-13,2026-07-19,"Education facility (school, etc.)",1
Sumska,2026-07-13,2026-07-19,Government facilities,1
Sumska,2026-07-13,2026-07-19,Total,2
Zaporizka,2026-07-13,2026-07-19,"Health facility (hospital, health clinic)",1
Zaporizka,2026-07-13,2026-07-19,Total,1
Zhytomyrska,2026-07-13,2026-07-19,Fuel depot,1
Zhytomyrska,2026-07-13,2026-07-19,Total,1
Autonomous Republic of Crimea,2026-07-06,2026-07-12,Electricity supply system,6
Autonomous Republic of Crimea,2026-07-06,2026-07-12,Oil depot,1
Autonomous Republic of Crimea,2026-07-06,2026-07-12,Total,7
Chernihivska,2026-07-06,2026-07-12,Fuel depot,1
Chernihivska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,1
Chernihivska,2026-07-06,2026-07-12,Total,4
Chernihivska,2026-07-06,2026-07-12,Warehouse,1
Chernihivska,2026-07-06,2026-07-12,Water supply system,1
Dnipropetrovska,2026-07-06,2026-07-12,Agricultural facilities,7
Dnipropetrovska,2026-07-06,2026-07-12,"Education facility (school, etc.)",4
Dnipropetrovska,2026-07-06,2026-07-12,Electricity supply system,1
Dnipropetrovska,2026-07-06,2026-07-12,Fuel depot,6
Dnipropetrovska,2026-07-06,2026-07-12,Gas supply system,1
Dnipropetrovska,2026-07-06,2026-07-12,Government facilities,4
Dnipropetrovska,2026-07-06,2026-07-12,"Health facility (hospital, health clinic)",1
Dnipropetrovska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,10
Dnipropetrovska,2026-07-06,2026-07-12,Other,1
Dnipropetrovska,2026-07-06,2026-07-12,Total,35
Donetska,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Donetska,2026-07-06,2026-07-12,Fuel depot,2
Donetska,2026-07-06,2026-07-12,Government facilities,3
Donetska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,3
Donetska,2026-07-06,2026-07-12,Total,9
Kharkivska,2026-07-06,2026-07-12,Agricultural facilities,1
Kharkivska,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Kharkivska,2026-07-06,2026-07-12,Electricity supply system,4
Kharkivska,2026-07-06,2026-07-12,Fuel depot,6
Kharkivska,2026-07-06,2026-07-12,Gas supply system,1
Kharkivska,2026-07-06,2026-07-12,Government facilities,2
Kharkivska,2026-07-06,2026-07-12,"Health facility (hospital, health clinic)",3
Kharkivska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,13
Kharkivska,2026-07-06,2026-07-12,Total,31
Khersonska,2026-07-06,2026-07-12,"Cultural facilities (museum, theater etc.)",3
Khersonska,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Khersonska,2026-07-06,2026-07-12,Electricity supply system,1
Khersonska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,1
Khersonska,2026-07-06,2026-07-12,Total,6
Kyiv,2026-07-06,2026-07-12,"Education facility (school, etc.)",3
Kyiv,2026-07-06,2026-07-12,Gas supply system,1
Kyiv,2026-07-06,2026-07-12,Government facilities,1
Kyiv,2026-07-06,2026-07-12,"Health facility (hospital, health clinic)",1
Kyiv,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,6
Kyiv,2026-07-06,2026-07-12,Other,1
Kyiv,2026-07-06,2026-07-12,Road / Highway,1
Kyiv,2026-07-06,2026-07-12,Telecommunications,1
Kyiv,2026-07-06,2026-07-12,Total,22
Kyiv,2026-07-06,2026-07-12,Warehouse,7
Kyivska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,1
Kyivska,2026-07-06,2026-07-12,Total,1
Mykolaivska,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Mykolaivska,2026-07-06,2026-07-12,Electricity supply system,1
Mykolaivska,2026-07-06,2026-07-12,Total,2
Odeska,2026-07-06,2026-07-12,"Education facility (school, etc.)",1
Odeska,2026-07-06,2026-07-12,Energy Infrastructure (unknown type),1
Odeska,2026-07-06,2026-07-12,Fuel depot,4
Odeska,2026-07-06,2026-07-12,Gas supply system,1
Odeska,2026-07-06,2026-07-12,Harbor,1
Odeska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,3
Odeska,2026-07-06,2026-07-12,Total,11
Poltavska,2026-07-06,2026-07-12,Fuel depot,1
Poltavska,2026-07-06,2026-07-12,Railway,1
Poltavska,2026-07-06,2026-07-12,Total,2
Sumska,2026-07-06,2026-07-12,Fuel depot,2
Sumska,2026-07-06,2026-07-12,Government facilities,1
Sumska,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,2
Sumska,2026-07-06,2026-07-12,Total,5
Zaporizka,2026-07-06,2026-07-12,"Cultural facilities (museum, theater etc.)",1
Zaporizka,2026-07-06,2026-07-12,Electricity supply system,2
Zaporizka,2026-07-06,2026-07-12,Fuel depot,2
Zaporizka,2026-07-06,2026-07-12,Government facilities,1
Zaporizka,2026-07-06,2026-07-12,Industrial/Business/Enterprise facilities,2
Zaporizka,2026-07-06,2026-07-12,Total,9
Zaporizka,2026-07-06,2026-07-12,Warehouse,1
Autonomous Republic of Crimea,2026-06-29,2026-07-05,Airport,1
Autonomous Republic of Crimea,2026-06-29,2026-07-05,Bridge,1
Autonomous Republic of Crimea,2026-06-29,2026-07-05,Electricity supply system,17
Autonomous Republic of Crimea,2026-06-29,2026-07-05,Gas supply system,1
Autonomous Republic of Crimea,2026-06-29,2026-07-05,Total,20
Cherkaska,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,1
Cherkaska,2026-06-29,2026-07-05,Total,1
Chernihivska,2026-06-29,2026-07-05,"Cultural facilities (museum, theater etc.)",1
Chernihivska,2026-06-29,2026-07-05,Electricity supply system,1
Chernihivska,2026-06-29,2026-07-05,Government facilities,1
Chernihivska,2026-06-29,2026-07-05,"Health facility (hospital, health clinic)",1
Chernihivska,2026-06-29,2026-07-05,Telecommunications,1
Chernihivska,2026-06-29,2026-07-05,Total,5
Dnipropetrovska,2026-06-29,2026-07-05,Agricultural facilities,4
Dnipropetrovska,2026-06-29,2026-07-05,"Cultural facilities (museum, theater etc.)",2
Dnipropetrovska,2026-06-29,2026-07-05,"Education facility (school, etc.)",4
Dnipropetrovska,2026-06-29,2026-07-05,Fuel depot,11
Dnipropetrovska,2026-06-29,2026-07-05,Government facilities,5
Dnipropetrovska,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,14
Dnipropetrovska,2026-06-29,2026-07-05,Other,1
Dnipropetrovska,2026-06-29,2026-07-05,Total,41
Donetska,2026-06-29,2026-07-05,"Cultural facilities (museum, theater etc.)",1
Donetska,2026-06-29,2026-07-05,Government facilities,2
Donetska,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,1
Donetska,2026-06-29,2026-07-05,Other,1
Donetska,2026-06-29,2026-07-05,Road / Highway,1
Donetska,2026-06-29,2026-07-05,Total,6
Kharkivska,2026-06-29,2026-07-05,Electricity supply system,2
Kharkivska,2026-06-29,2026-07-05,Energy Infrastructure (unknown type),1
Kharkivska,2026-06-29,2026-07-05,Fuel depot,4
Kharkivska,2026-06-29,2026-07-05,Government facilities,1
Kharkivska,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,6
Kharkivska,2026-06-29,2026-07-05,Total,14
Khersonska,2026-06-29,2026-07-05,Government facilities,1
Khersonska,2026-06-29,2026-07-05,"Health facility (hospital, health clinic)",1
Khersonska,2026-06-29,2026-07-05,Total,3
Khersonska,2026-06-29,2026-07-05,Warehouse,1
Kyiv,2026-06-29,2026-07-05,"Cultural facilities (museum, theater etc.)",2
Kyiv,2026-06-29,2026-07-05,Electricity supply system,1
Kyiv,2026-06-29,2026-07-05,Energy Infrastructure (unknown type),1
Kyiv,2026-06-29,2026-07-05,"Health facility (hospital, health clinic)",3
Kyiv,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,3
Kyiv,2026-06-29,2026-07-05,Oil depot,1
Kyiv,2026-06-29,2026-07-05,Other,1
Kyiv,2026-06-29,2026-07-05,Total,16
Kyiv,2026-06-29,2026-07-05,Warehouse,4
Kyivska,2026-06-29,2026-07-05,"Education facility (school, etc.)",1
Kyivska,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,1
Kyivska,2026-06-29,2026-07-05,Total,3
Kyivska,2026-06-29,2026-07-05,Warehouse,1
Mykolaivska,2026-06-29,2026-07-05,Agricultural facilities,2
Mykolaivska,2026-06-29,2026-07-05,Fuel depot,1
Mykolaivska,2026-06-29,2026-07-05,Telecommunications,1
Mykolaivska,2026-06-29,2026-07-05,Total,5
Mykolaivska,2026-06-29,2026-07-05,Warehouse,1
Poltavska,2026-06-29,2026-07-05,"Education facility (school, etc.)",2
Poltavska,2026-06-29,2026-07-05,Fuel depot,2
Poltavska,2026-06-29,2026-07-05,Gas supply system,1
Poltavska,2026-06-29,2026-07-05,Total,6
Poltavska,2026-06-29,2026-07-05,Warehouse,1
Sumska,2026-06-29,2026-07-05,Fuel depot,4
Sumska,2026-06-29,2026-07-05,Government facilities,1
Sumska,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,1
Sumska,2026-06-29,2026-07-05,Road / Highway,1
Sumska,2026-06-29,2026-07-05,Total,7
Zaporizka,2026-06-29,2026-07-05,Agricultural facilities,1
Zaporizka,2026-06-29,2026-07-05,"Cultural facilities (museum, theater etc.)",2
Zaporizka,2026-06-29,2026-07-05,"Education facility (school, etc.)",3
Zaporizka,2026-06-29,2026-07-05,Gas supply system,2
Zaporizka,2026-06-29,2026-07-05,Industrial/Business/Enterprise facilities,9
Zaporizka,2026-06-29,2026-07-05,Other,2
Zaporizka,2026-06-29,2026-07-05,Road / Highway,1
Zaporizka,2026-06-29,2026-07-05,Total,22
Zaporizka,2026-06-29,2026-07-05,Warehouse,2
Autonomous Republic of Crimea,2026-06-22,2026-06-28,Bridge,1
Autonomous Republic of Crimea,2026-06-22,2026-06-28,Electricity supply system,3
Autonomous Republic of Crimea,2026-06-22,2026-06-28,Heating and water facility,1
Autonomous Republic of Crimea,2026-06-22,2026-06-28,Oil depot,1
Autonomous Republic of Crimea,2026-06-22,2026-06-28,Power plant,1
Autonomous Republic of Crimea,2026-06-22,2026-06-28,Railway,1
Autonomous Republic of Crimea,2026-06-22,2026-06-28,Total,8
Chernihivska,2026-06-22,2026-06-28,"Education facility (school, etc.)",2
Chernihivska,2026-06-22,2026-06-28,Energy Infrastructure (unknown type),1
Chernihivska,2026-06-22,2026-06-28,Fuel depot,2
Chernihivska,2026-06-22,2026-06-28,Industrial/Business/Enterprise facilities,2
Chernihivska,2026-06-22,2026-06-28,Total,9
Chernihivska,2026-06-22,2026-06-28,Warehouse,2
Dnipropetrovska,2026-06-22,2026-06-28,Agricultural facilities,3
Dnipropetrovska,2026-06-22,2026-06-28,"Cultural facilities (museum, theater etc.)",1
Dnipropetrovska,2026-06-22,2026-06-28,"Education facility (school, etc.)",6
Dnipropetrovska,2026-06-22,2026-06-28,Fuel depot,10
Dnipropetrovska,2026-06-22,2026-06-28,Government facilities,5
Dnipropetrovska,2026-06-22,2026-06-28,"Health facility (hospital, health clinic)",1
Dnipropetrovska,2026-06-22,2026-06-28,Industrial/Business/Enterprise facilities,8
Dnipropetrovska,2026-06-22,2026-06-28,Total,34
Donetska,2026-06-22,2026-06-28,Electricity supply system,1
Donetska,2026-06-22,2026-06-28,Gas supply system,1
Donetska,2026-06-22,2026-06-28,Total,2
Kharkivska,2026-06-22,2026-06-28,"Cultural facilities (museum, theater etc.)",1
Kharkivska,2026-06-22,2026-06-28,"Education facility (school, etc.)",1
Kharkivska,2026-06-22,2026-06-28,Fuel depot,7
Kharkivska,2026-06-22,2026-06-28,Government facilities,1
Kharkivska,2026-06-22,2026-06-28,Industrial/Business/Enterprise facilities,3
Kharkivska,2026-06-22,2026-06-28,Total,14
Kharkivska,2026-06-22,2026-06-28,Warehouse,1
Khersonska,2026-06-22,2026-06-28,Fuel depot,1
Khersonska,2026-06-22,2026-06-28,Gas supply system,1
Khersonska,2026-06-22,2026-06-28,Total,2
Kyiv,2026-06-22,2026-06-28,"Health facility (hospital, health clinic)",1
Kyiv,2026-06-22,2026-06-28,Industrial/Business/Enterprise facilities,1
Kyiv,2026-06-22,2026-06-28,Total,2
Odeska,2026-06-22,2026-06-28,Energy Infrastructure (unknown type),1
Odeska,2026-06-22,2026-06-28,Total,1
Poltavska,2026-06-22,2026-06-28,Industrial/Business/Enterprise facilities,1
Poltavska,2026-06-22,2026-06-28,Total,1
Sevastopol,2026-06-22,2026-06-28,Energy Infrastructure (unknown type),1
Sevastopol,2026-06-22,2026-06-28,Total,1
Sumska,2026-06-22,2026-06-28,"Education facility (school, etc.)",1
Sumska,2026-06-22,2026-06-28,Electricity supply system,1
Sumska,2026-06-22,2026-06-28,Energy Infrastructure (unknown type),1
Sumska,2026-06-22,2026-06-28,Fuel depot,5
Sumska,2026-06-22,2026-06-28,Heating and water facility,1
Sumska,2026-06-22,2026-06-28,Industrial/Business/Enterprise facilities,3
Sumska,2026-06-22,2026-06-28,Total,13
Sumska,2026-06-22,2026-06-28,Warehouse,1
Zaporizka,2026-06-22,2026-06-28,"Cultural facilities (museum, theater etc.)",1
Zaporizka,2026-06-22,2026-06-28,"Education facility (school, etc.)",2
Zaporizka,2026-06-22,2026-06-28,Energy Infrastructure (unknown type),1
Zaporizka,2026-06-22,2026-06-28,Fuel depot,4
Zaporizka,2026-06-22,2026-06-28,Government facilities,3
Zaporizka,2026-06-22,2026-06-28,Industrial/Business/Enterprise facilities,3
Zaporizka,2026-06-22,2026-06-28,Total,15
Zaporizka,2026-06-22,2026-06-28,Warehouse,1
Autonomous Republic of Crimea,2026-06-15,2026-06-21,Gas supply system,1
Autonomous Republic of Crimea,2026-06-15,2026-06-21,Oil depot,1
Autonomous Republic of Crimea,2026-06-15,2026-06-21,Total,2
Chernihivska,2026-06-15,2026-06-21,"Cultural facilities (museum, theater etc.)",1
Chernihivska,2026-06-15,2026-06-21,Total,1
Dnipropetrovska,2026-06-15,2026-06-21,Agricultural facilities,2
Dnipropetrovska,2026-06-15,2026-06-21,"Cultural facilities (museum, theater etc.)",2
Dnipropetrovska,2026-06-15,2026-06-21,"Education facility (school, etc.)",7
Dnipropetrovska,2026-06-15,2026-06-21,Fuel depot,3
Dnipropetrovska,2026-06-15,2026-06-21,Government facilities,4
Dnipropetrovska,2026-06-15,2026-06-21,"Health facility (hospital, health clinic)",2
Dnipropetrovska,2026-06-15,2026-06-21,Industrial/Business/Enterprise facilities,15
Dnipropetrovska,2026-06-15,2026-06-21,Religious facilities,1
Dnipropetrovska,2026-06-15,2026-06-21,Total,36
Donetska,2026-06-15,2026-06-21,Industrial/Business/Enterprise facilities,6
Donetska,2026-06-15,2026-06-21,Road / Highway,1
Donetska,2026-06-15,2026-06-21,Total,7
Kharkivska,2026-06-15,2026-06-21,"Cultural facilities (museum, theater etc.)",1
Kharkivska,2026-06-15,2026-06-21,"Education facility (school, etc.)",2
Kharkivska,2026-06-15,2026-06-21,Electricity supply system,1
Kharkivska,2026-06-15,2026-06-21,Energy Infrastructure (unknown type),1
Kharkivska,2026-06-15,2026-06-21,Industrial/Business/Enterprise facilities,2
Kharkivska,2026-06-15,2026-06-21,Power plant,1
Kharkivska,2026-06-15,2026-06-21,Road / Highway,1
Kharkivska,2026-06-15,2026-06-21,Total,12
Kharkivska,2026-06-15,2026-06-21,Warehouse,3
Kirovohradska,2026-06-15,2026-06-21,Agricultural facilities,1
Kirovohradska,2026-06-15,2026-06-21,Industrial/Business/Enterprise facilities,1
Kirovohradska,2026-06-15,2026-06-21,Total,2
Kyiv,2026-06-15,2026-06-21,"Cultural facilities (museum, theater etc.)",7
Kyiv,2026-06-15,2026-06-21,"Education facility (school, etc.)",2
Kyiv,2026-06-15,2026-06-21,Electricity supply system,1
Kyiv,2026-06-15,2026-06-21,Government facilities,1
Kyiv,2026-06-15,2026-06-21,Industrial/Business/Enterprise facilities,5
Kyiv,2026-06-15,2026-06-21,Total,18
Kyiv,2026-06-15,2026-06-21,Warehouse,2
Kyivska,2026-06-15,2026-06-21,Total,3
Kyivska,2026-06-15,2026-06-21,Warehouse,3
Mykolaivska,2026-06-15,2026-06-21,Industrial/Business/Enterprise facilities,1
Mykolaivska,2026-06-15,2026-06-21,Total,1
Odeska,2026-06-15,2026-06-21,Agricultural facilities,1
Odeska,2026-06-15,2026-06-21,Total,2
Odeska,2026-06-15,2026-06-21,Warehouse,1
Poltavska,2026-06-15,2026-06-21,Energy Infrastructure (unknown type),1
Poltavska,2026-06-15,2026-06-21,Industrial/Business/Enterprise facilities,2
Poltavska,2026-06-15,2026-06-21,Total,5
Poltavska,2026-06-15,2026-06-21,Warehouse,2
Sumska,2026-06-15,2026-06-21,"Cultural facilities (museum, theater etc.)",2
Sumska,2026-06-15,2026-06-21,"Education facility (school, etc.)",4
Sumska,2026-06-15,2026-06-21,Fuel depot,2
Sumska,2026-06-15,2026-06-21,Government facilities,2
Sumska,2026-06-15,2026-06-21,Industrial/Business/Enterprise facilities,6
Sumska,2026-06-15,2026-06-21,Total,18
Sumska,2026-06-15,2026-06-21,Warehouse,2
Zaporizka,2026-06-15,2026-06-21,"Cultural facilities (museum, theater etc.)",3
Zaporizka,2026-06-15,2026-06-21,"Education facility (school, etc.)",3
Zaporizka,2026-06-15,2026-06-21,Fuel depot,1
Zaporizka,2026-06-15,2026-06-21,Government facilities,2
Zaporizka,2026-06-15,2026-06-21,Industrial/Business/Enterprise facilities,4
Zaporizka,2026-06-15,2026-06-21,Total,13
Autonomous Republic of Crimea,2026-06-08,2026-06-14,Bridge,1
Autonomous Republic of Crimea,2026-06-08,2026-06-14,Electricity supply system,1
Autonomous Republic of Crimea,2026-06-08,2026-06-14,Industrial/Business/Enterprise facilities,1
Autonomous Republic of Crimea,2026-06-08,2026-06-14,Oil depot,1
Autonomous Republic of Crimea,2026-06-08,2026-06-14,Power plant,1
Autonomous Republic of Crimea,2026-06-08,2026-06-14,Total,5
Chernihivska,2026-06-08,2026-06-14,"Education facility (school, etc.)",1
Chernihivska,2026-06-08,2026-06-14,Fuel depot,1
Chernihivska,2026-06-08,2026-06-14,Government facilities,1
Chernihivska,2026-06-08,2026-06-14,Industrial/Business/Enterprise facilities,1
Chernihivska,2026-06-08,2026-06-14,Total,5
Chernihivska,2026-06-08,2026-06-14,Warehouse,1
Dnipropetrovska,2026-06-08,2026-06-14,Agricultural facilities,1
Dnipropetrovska,2026-06-08,2026-06-14,"Cultural facilities (museum, theater etc.)",1
Dnipropetrovska,2026-06-08,2026-06-14,"Education facility (school, etc.)",4
Dnipropetrovska,2026-06-08,2026-06-14,Fuel depot,6
Dnipropetrovska,2026-06-08,2026-06-14,Government facilities,8
Dnipropetrovska,2026-06-08,2026-06-14,"Health facility (hospital, health clinic)",2
Dnipropetrovska,2026-06-08,2026-06-14,Industrial/Business/Enterprise facilities,16
Dnipropetrovska,2026-06-08,2026-06-14,Total,38
Donetska,2026-06-08,2026-06-14,"Education facility (school, etc.)",1
Donetska,2026-06-08,2026-06-14,Fuel depot,1
Donetska,2026-06-08,2026-06-14,Government facilities,1
Donetska,2026-06-08,2026-06-14,"Health facility (hospital, health clinic)",1
Donetska,2026-06-08,2026-06-14,Total,4
Kharkivska,2026-06-08,2026-06-14,"Cultural facilities (museum, theater etc.)",2
Kharkivska,2026-06-08,2026-06-14,"Education facility (school, etc.)",1
Kharkivska,2026-06-08,2026-06-14,Government facilities,3
Kharkivska,2026-06-08,2026-06-14,"Health facility (hospital, health clinic)",4
Kharkivska,2026-06-08,2026-06-14,Industrial/Business/Enterprise facilities,8
Kharkivska,2026-06-08,2026-06-14,Railway,1
Kharkivska,2026-06-08,2026-06-14,Religious facilities,1
Kharkivska,2026-06-08,2026-06-14,Total,21
Kharkivska,2026-06-08,2026-06-14,Warehouse,1
Khersonska,2026-06-08,2026-06-14,Bridge,2
Khersonska,2026-06-08,2026-06-14,Total,2
Mykolaivska,2026-06-08,2026-06-14,Industrial/Business/Enterprise facilities,1
Mykolaivska,2026-06-08,2026-06-14,Total,1
Poltavska,2026-06-08,2026-06-14,Agricultural facilities,1
Poltavska,2026-06-08,2026-06-14,Industrial/Business/Enterprise facilities,1
Poltavska,2026-06-08,2026-06-14,Total,2
Sumska,2026-06-08,2026-06-14,Agricultural facilities,1
Sumska,2026-06-08,2026-06-14,Industrial/Business/Enterprise facilities,1
Sumska,2026-06-08,2026-06-14,Railway,1
Sumska,2026-06-08,2026-06-14,Total,3
Zaporizka,2026-06-08,2026-06-14,Electricity supply system,1
Zaporizka,2026-06-08,2026-06-14,Industrial/Business/Enterprise facilities,4
Zaporizka,2026-06-08,2026-06-14,Other,1
Zaporizka,2026-06-08,2026-06-14,Total,6
Zhytomyrska,2026-06-08,2026-06-14,Industrial/Business/Enterprise facilities,1
Zhytomyrska,2026-06-08,2026-06-14,Total,1
Autonomous Republic of Crimea,2026-06-01,2026-06-07,Railway,1
Autonomous Republic of Crimea,2026-06-01,2026-06-07,Total,1
Chernihivska,2026-06-01,2026-06-07,Agricultural facilities,1
Chernihivska,2026-06-01,2026-06-07,Fuel depot,1
Chernihivska,2026-06-01,2026-06-07,Government facilities,1
Chernihivska,2026-06-01,2026-06-07,Industrial/Business/Enterprise facilities,3
Chernihivska,2026-06-01,2026-06-07,Other,1
Chernihivska,2026-06-01,2026-06-07,Railway,1
Chernihivska,2026-06-01,2026-06-07,Total,9
Chernihivska,2026-06-01,2026-06-07,Warehouse,1
Dnipropetrovska,2026-06-01,2026-06-07,Agricultural facilities,4
Dnipropetrovska,2026-06-01,2026-06-07,"Cultural facilities (museum, theater etc.)",1
Dnipropetrovska,2026-06-01,2026-06-07,"Education facility (school, etc.)",4
Dnipropetrovska,2026-06-01,2026-06-07,Fuel depot,3
Dnipropetrovska,2026-06-01,2026-06-07,Government facilities,4
Dnipropetrovska,2026-06-01,2026-06-07,"Health facility (hospital, health clinic)",1
Dnipropetrovska,2026-06-01,2026-06-07,Industrial/Business/Enterprise facilities,11
Dnipropetrovska,2026-06-01,2026-06-07,Other,1
Dnipropetrovska,2026-06-01,2026-06-07,Religious facilities,1
Dnipropetrovska,2026-06-01,2026-06-07,Total,31
Dnipropetrovska,2026-06-01,2026-06-07,Warehouse,1
Kharkivska,2026-06-01,2026-06-07,Agricultural facilities,1
Kharkivska,2026-06-01,2026-06-07,"Education facility (school, etc.)",2
Kharkivska,2026-06-01,2026-06-07,Fuel depot,3
Kharkivska,2026-06-01,2026-06-07,Government facilities,4
Kharkivska,2026-06-01,2026-06-07,"Health facility (hospital, health clinic)",2
Kharkivska,2026-06-01,2026-06-07,Industrial/Business/Enterprise facilities,4
Kharkivska,2026-06-01,2026-06-07,Total,19
Kharkivska,2026-06-01,2026-06-07,Warehouse,3
Khersonska,2026-06-01,2026-06-07,Electricity supply system,1
Khersonska,2026-06-01,2026-06-07,Fuel depot,1
Khersonska,2026-06-01,2026-06-07,Total,2
Khmelnytska,2026-06-01,2026-06-07,Industrial/Business/Enterprise facilities,1
