damage_id,iso3,country,gid_1,oblast,rayon,type_of_infrastructure,if_other_what,date_of_event,source_name,source_date,source_link,additional_sources,extent_of_damage,_internal_filter_date,_weights,access_subindicator,pcode
D19811,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Warehouse,,2025-02-13,Suspilne,2025-02-13,https://suspilne.media/donbas/947283-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-13-lutogo/,,Partially damaged,2025-02-13,0.7,['7.2'],UA14
D19812,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-13,Suspilne,2025-02-13,https://suspilne.media/donbas/947283-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-13-lutogo/,,Partially damaged,2025-02-13,0.7,['7.2'],UA14
D19813,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Gas supply system,,2025-02-13,Suspilne,2025-02-13,https://suspilne.media/donbas/947283-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-13-lutogo/,,Partially damaged,2025-02-13,0.7,['7.2'],UA14
D19814,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-13,Suspilne,2025-02-13,https://suspilne.media/donbas/947283-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-13-lutogo/,,Partially damaged,2025-02-13,0.7,['7.2'],UA14
D19815,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,"Education facility (school, etc.)",,2025-02-12,Suspilne,2025-02-13,https://suspilne.media/donbas/947283-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-13-lutogo/,,Partially damaged,2025-02-12,0.7,['7.2'],UA14
D19816,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Railway,,2025-02-12,Suspilne,2025-02-13,https://suspilne.media/donbas/947283-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-13-lutogo/,,Partially damaged,2025-02-12,0.7,['9.2'],UA14
D19817,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-12,Suspilne,2025-02-13,https://suspilne.media/donbas/947283-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-13-lutogo/,,Partially damaged,2025-02-12,0.7,['7.2'],UA14
D19818,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-12,Suspilne,2025-02-13,https://suspilne.media/donbas/947283-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-13-lutogo/,,Partially damaged,2025-02-12,0.7,['7.2'],UA14
D19819,UKR,Ukraine,['UKR.21_1'],Sumska,Sumskyi,Electricity supply system,,2025-02-13,Ukrinform,2025-02-13,https://www.ukrinform.ua/rubric-regions/3959465-zagarbniki-atakuvali-dronami-sumi.html,,Partially damaged,2025-02-13,0.7,['7.2'],UA59
D19820,UKR,Ukraine,['UKR.8_1'],Kharkivska,Kupianskyi,"Education facility (school, etc.)",,2025-02-13,Kharkiv regional military administration,2025-02-14,https://kharkivoda.gov.ua/news/130367,,Partially damaged,2025-02-13,0.7,['7.2'],UA63
D19822,UKR,Ukraine,['UKR.12_1'],Kyivska,Chornobylska zona vidchuzhennia,Nuclear unit,,2025-02-14,Hromadske radio,2025-02-14,https://hromadske.radio/news/2025/02/14/rosiyskyy-dron-z-fuhasnoiu-boyovoiu-chastynoiu-vluchyv-v-ukryttia-na-chornobylskiy-aes,,Partially damaged,2025-02-14,0.7,['7.2'],UA32
D19823,UKR,Ukraine,['UKR.21_1'],Sumska,Sumskyi,"Health facility (hospital, health clinic)",,2025-02-14,UNN,2025-02-14,https://unn.ua/en/news/4-wounded-and-a-hospital-damaged-in-sumy-region-due-to-night-attack-by-russian-federation-consequences,,Partially damaged,2025-02-14,0.7,['7.2'],UA59
D19825,UKR,Ukraine,['UKR.21_1'],Sumska,Sumskyi,Industrial/Business/Enterprise facilities,,2025-02-14,UNN,2025-02-14,https://unn.ua/en/news/4-wounded-and-a-hospital-damaged-in-sumy-region-due-to-night-attack-by-russian-federation-consequences,,Partially damaged,2025-02-14,0.7,['7.2'],UA59
