damage_id,iso3,country,gid_1,oblast,rayon,type_of_infrastructure,if_other_what,date_of_event,source_name,source_date,source_link,additional_sources,extent_of_damage,_internal_filter_date,_weights,access_subindicator,pcode
D19694,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19695,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-10,UNN,2025-02-10,https://unn.ua/en/news/russians-dropped-a-500-kilogram-bomb-on-kramatorsk-at-night-one-dead-and-7-wounded-the-consequences-showed,,Partially damaged,2025-02-10,0.7,['7.2'],UA14
D19696,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Gas supply system,,2025-02-10,UNN,2025-02-10,https://unn.ua/en/news/russians-dropped-a-500-kilogram-bomb-on-kramatorsk-at-night-one-dead-and-7-wounded-the-consequences-showed,,Partially damaged,2025-02-10,0.7,['7.2'],UA14
D19697,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-10,UNN,2025-02-10,https://unn.ua/en/news/russians-dropped-a-500-kilogram-bomb-on-kramatorsk-at-night-one-dead-and-7-wounded-the-consequences-showed,,Partially damaged,2025-02-10,0.7,['7.2'],UA14
D19698,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-10,UNN,2025-02-10,https://unn.ua/en/news/russians-dropped-a-500-kilogram-bomb-on-kramatorsk-at-night-one-dead-and-7-wounded-the-consequences-showed,,Partially damaged,2025-02-10,0.7,['7.2'],UA14
D19699,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-10,UNN,2025-02-10,https://unn.ua/en/news/russians-dropped-a-500-kilogram-bomb-on-kramatorsk-at-night-one-dead-and-7-wounded-the-consequences-showed,,Partially damaged,2025-02-10,0.7,['7.2'],UA14
D19700,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-10,UNN,2025-02-10,https://unn.ua/en/news/russians-dropped-a-500-kilogram-bomb-on-kramatorsk-at-night-one-dead-and-7-wounded-the-consequences-showed,,Partially damaged,2025-02-10,0.7,['7.2'],UA14
D19701,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-10,UNN,2025-02-10,https://unn.ua/en/news/russians-dropped-a-500-kilogram-bomb-on-kramatorsk-at-night-one-dead-and-7-wounded-the-consequences-showed,,Partially damaged,2025-02-10,0.7,['7.2'],UA14
D19702,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-10,UNN,2025-02-10,https://unn.ua/en/news/russians-dropped-a-500-kilogram-bomb-on-kramatorsk-at-night-one-dead-and-7-wounded-the-consequences-showed,,Partially damaged,2025-02-10,0.7,['7.2'],UA14
D19703,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Electricity supply system,,2025-02-10,UNN,2025-02-10,https://unn.ua/en/news/russians-dropped-a-500-kilogram-bomb-on-kramatorsk-at-night-one-dead-and-7-wounded-the-consequences-showed,,Partially damaged,2025-02-10,0.7,['7.2'],UA14
D19704,UKR,Ukraine,['UKR.9_1'],Khersonska,,Government facilities,,2025-02-09,UNN,2025-02-10,https://unn.ua/news/nichna-ataka-rf-dronom-zabrala-zhyttia-cholovika-na-khersonshchyni,,Partially damaged,2025-02-09,1.0,['7.2'],UA65
